,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53
1,15.89136887,15.94361687,15.45956135,15.38302898,16.08841896,15.6626358,15.92842579,15.80505848,16.24099922,15.55668449,15.88033676,15.03078461,15.79312992,15.99449444,15.95584965,15.52945614,15.41152573,15.34387684,15.5406723,15.12985516,15.42281914,15.35466194,16.13755417,15.31877899,15.31503773,16.03227043,15.82806969,15.39067841,15.768013,16.4077549,16.11112213,15.51263332,16.36199951,16.98460388,16.40947914,16.23530197,16.76914215,16.84251022,16.4303894,16.4711628,16.31349182,17.08755112,17.0745945,16.26930046,16.60157967,16.2665062,16.19075203,16.07755852,17.29001617,16.68869209,17.41568947,17.25207329,16.99669838
2,15.92339325,15.97926235,15.49741364,15.41606617,16.12524986,15.69182587,15.96334553,15.83810711,16.27333069,15.59082222,15.91261673,15.05713749,15.8239193,16.02230263,15.98652172,15.55774498,15.43660164,15.37138653,15.57096863,15.16222858,15.45767784,15.38046646,16.16648674,15.35057068,15.35105705,16.06151962,15.86249733,15.41617966,15.80268192,16.44500542,16.15262794,15.55348587,16.39860725,17.02476692,16.45132446,16.28118896,16.81642342,16.88815689,16.46258926,16.49742126,16.34000969,17.13550758,17.12532425,16.30801773,16.63328171,16.29727554,16.21498489,16.10388947,17.32023811,16.73411751,17.46156502,17.29285622,17.03772545
3,15.95744514,16.01722336,15.53762436,15.45114994,16.16456795,15.72280884,16.00046539,15.87328339,16.30771828,15.62712574,15.94693565,15.08504963,15.8566618,16.05191994,16.01926422,15.58789253,15.46331692,15.40070438,15.60315323,15.19667053,15.49480152,15.40786457,16.19735146,15.38445091,15.38946629,16.09264374,15.89909267,15.4432888,15.83980274,16.48491096,16.19706345,15.59717941,16.43784523,17.06783295,16.49611855,16.33037186,16.86710358,16.93705559,16.4969101,16.52555656,16.36833191,17.18681717,17.1796875,16.34921646,16.66690636,16.33030701,16.24109077,16.13218689,17.35289383,16.78328705,17.51117325,17.33685303,17.08191681
4,15.83889008,15.88547802,15.39736843,15.32869339,16.02877235,15.61455345,15.87115479,15.75106812,16.18806648,15.50076485,15.82742596,14.98711205,15.74270058,15.94914341,15.90617466,15.48340034,15.37067318,15.29909992,15.49088764,15.07689476,15.36596394,15.31219482,16.09059906,15.26702118,15.25650978,15.98446083,15.77160168,15.34886551,15.71236324,16.34803772,16.04447746,15.44683647,16.30342293,16.9204216,16.34225273,16.1618824,16.69348717,16.76933861,16.37800026,16.42910576,16.27059555,17.01038742,16.99336815,16.20600319,16.54924965,16.21750832,16.15257072,16.03575897,17.24285698,16.61817741,17.344244,17.18809128,16.93203163
5,15.87069893,15.92075729,15.43504238,15.36159992,16.06502724,15.64366245,15.90586185,15.78381729,16.22015762,15.5346632,15.85949516,15.01351357,15.77327156,15.97666359,15.93636894,15.51135921,15.39546967,15.32628441,15.52104473,15.10900974,15.40046501,15.3379097,16.11912727,15.29844284,15.29205704,16.01345825,15.80582237,15.37420654,15.7462616,16.38442421,16.08506966,15.48688412,16.33913231,16.95955849,16.38319397,16.20664024,16.73960686,16.81392479,16.40980911,16.45473862,16.29667664,17.05736351,17.0428772,16.2443924,16.58091354,16.24741173,16.17593384,16.06128883,17.27178192,16.66148376,17.38808632,17.22728157,16.97159767
6,15.90534973,15.95925903,15.47603703,15.39739323,16.10470772,15.67530537,15.94365597,15.81953526,16.25512886,15.57159424,15.89442444,15.04214478,15.80657864,16.00669861,15.96941376,15.54189587,15.42254353,15.3559761,15.5538578,15.14401531,15.43811607,15.36587429,16.15032005,15.3327589,15.33090973,16.04507446,15.84308434,15.40180397,15.78349304,16.42441177,16.12964821,15.5308094,16.3784008,17.0026207,16.42814636,16.25586128,16.79032516,16.86292267,16.4445591,16.48291397,16.32523537,17.10890961,17.09730721,16.28624725,16.61530685,16.28036118,16.20178604,16.08945465,17.30391121,16.70968628,17.4368248,17.27072334,17.01536942
7,15.94250202,16.0006218,15.51994324,15.43571186,16.14746094,15.70915985,15.98416519,15.85788059,16.29263878,15.61119843,15.93187141,15.07269859,15.84229755,16.03896904,16.00501823,15.57472515,15.45164299,15.38790131,15.58899975,15.18157482,15.47856522,15.39580345,16.18390083,15.3696537,15.37271404,16.07901001,15.88302135,15.43138695,15.82375526,16.46767616,16.17785072,15.57824516,16.42092133,17.04927444,16.47674179,16.30915833,16.84524536,16.91593742,16.48192787,16.51341248,16.35602188,17.16459846,17.15622902,16.33116722,16.652071,16.3161087,16.22995377,16.12005043,17.33905792,16.76252937,17.49018288,17.31814003,17.06306076
8,15.98166466,16.04430962,15.56617355,15.47604179,16.19275093,15.7447691,16.02685165,15.89835453,16.33219337,15.65295219,15.97134113,15.10475254,15.87995815,16.07305336,16.04273415,15.60942745,15.48239231,15.42164993,15.62600136,15.22119617,15.52128792,15.42729568,16.21944427,15.40865326,15.41693783,16.11481857,15.92510509,15.46256351,15.86656284,16.51370049,16.22909164,15.62860966,16.46618843,17.0989666,16.52839088,16.36589813,16.90371132,16.97233772,16.5214386,16.54586411,16.38865089,17.22374725,17.21893883,16.37856674,16.69070625,16.35423851,16.26012993,16.15272903,17.37684822,16.81946564,17.54760551,17.36902046,17.11413765
9,15.78160667,15.82226276,15.32933235,15.26920319,15.96430683,15.56184387,15.80859566,15.69228363,16.13033104,15.43974495,15.76965714,14.93900013,15.68767548,15.8998394,15.8524828,15.43340111,15.32629681,15.25049877,15.43642044,15.0191679,15.30414486,15.2656765,16.03975868,15.21083355,15.19307423,15.93238068,15.70991707,15.30320263,15.65267181,16.28405571,15.97297382,15.37605572,16.24076271,16.85183907,16.2700882,16.08334351,16.61256027,16.69094276,16.32115746,16.38407326,16.22428322,16.92745018,16.90642738,16.13704491,16.49178886,16.16531181,16.11227417,15.99135399,17.19351578,16.54475784,17.26963615,17.12082863,16.86376572
10,15.81184483,15.85564041,15.36524105,15.3005991,15.99835968,15.58965874,15.84161663,15.72331905,16.16081047,15.47195625,15.80015087,14.96438122,15.71672249,15.9258728,15.88084412,15.45980358,15.34972954,15.2761631,15.465168,15.04964352,15.33678532,15.29022694,16.06661034,15.24050426,15.22657585,15.95987606,15.74247646,15.32730579,15.68421841,16.317873,16.01076317,15.41345692,16.27388573,16.88809395,16.30822563,16.12485886,16.65533829,16.73237801,16.35117531,16.40787506,16.24874878,16.97127724,16.95238304,16.17345047,16.52210808,16.19291115,16.13359451,16.01483727,17.21963882,16.58364105,17.30914116,17.15642738,16.89988518
11,15.84561634,15.8929987,15.40529823,15.33560753,16.0365963,15.62065315,15.87848282,15.75802994,16.19486427,15.50793743,15.83420372,14.99258614,15.7491703,15.95501137,15.91269016,15.48937988,15.37596989,15.30491638,15.49723339,15.0837059,15.37331867,15.31759262,16.09673309,15.27374172,15.26413727,15.99061871,15.77882671,15.35421848,15.71979046,16.3560276,16.05336761,15.45556068,16.31128883,16.92905998,16.35120964,16.17174149,16.70364761,16.77912903,16.3848114,16.43474197,16.27623749,17.02063942,17.00426102,16.21415329,16.55586243,16.2241497,16.15785027,16.04145813,17.24949837,16.62820816,17.35434723,17.19701195,16.94096947
12,15.88272953,15.93414783,15.44926071,15.37400913,16.07886505,15.65462685,15.91897964,15.79623222,16.23230362,15.54748726,15.87162113,15.02341175,15.78483677,15.98711014,15.94789219,15.52198696,15.40489006,15.33661938,15.53242493,15.121171,15.41355991,15.34760284,16.12999535,15.3103857,15.30558872,16.02444458,15.8187542,15.3837862,15.75928783,16.39842224,16.10066414,15.50223255,16.3528862,16.97464943,16.39891624,16.22388077,16.7573719,16.83107567,16.42190742,16.46460342,16.30664063,17.07538223,17.06193733,16.25893593,16.59282303,16.25897408,16.18503952,16.07118416,17.28313828,16.67855453,17.40532684,17.24260902,16.98701477
13,15.92284584,15.97873402,15.4967165,15.41544151,16.12483025,15.69125271,15.96273422,15.83759117,16.27279282,15.59024429,15.91205978,15.05654049,15.82339954,16.02189255,15.98617172,15.55735207,15.43624401,15.37100601,15.57040977,15.1617012,15.45716095,15.3799715,16.16612816,15.35012913,15.3505888,16.06105423,15.8618927,15.4157362,15.80243587,16.44476509,16.15232658,15.5531311,16.39840317,17.02456665,16.45101166,16.28093338,16.8161602,16.88786507,16.46215057,16.49726105,16.33972549,17.13511276,17.1250267,16.30739975,16.63262558,16.29717445,16.21502686,16.10384178,17.32042694,16.73451233,17.46189499,17.2930088,17.03778839
14,15.96545029,16.02619934,15.54704666,15.45936012,16.17394257,15.73004627,16.00918198,15.88158417,16.31581116,15.63566303,15.95500088,15.09152126,15.86436367,16.05892372,16.027071,15.59503555,15.46964169,15.40765285,15.61069298,15.20478439,15.50357819,15.41427231,16.20469093,15.39247894,15.39858723,16.09998322,15.90768528,15.44965744,15.84874439,16.49453735,16.20776367,15.60766411,16.44733238,17.07825851,16.50689697,16.34226227,16.87935638,16.94885254,16.50504875,16.53234863,16.37509537,17.19914246,17.1928196,16.35893059,16.67474174,16.33833504,16.24751091,16.13908958,17.3610096,16.79557228,17.52352715,17.34772301,17.09278107
15,15.72165585,15.75644875,15.2579174,15.20669079,15.8977356,15.50636387,15.74306202,15.63097191,16.06996727,15.37590885,15.70917988,14.88802814,15.63011837,15.84851742,15.79703426,15.38145542,15.28015518,15.20001698,15.3792429,14.95886517,15.23978424,15.21676254,15.98712444,15.1524601,15.12731266,15.8780241,15.64529324,15.25538063,15.59167004,16.2187748,15.89987469,15.30343246,16.17697334,16.78212738,16.19626808,16.00338936,16.53017616,16.61096001,16.26214409,16.33817101,16.17652321,16.842453,16.8178463,16.06506157,16.43117142,16.11248589,16.07203484,15.94658947,17.14486504,16.47288322,17.19627762,17.05403709,16.79556465
16,15.74909401,15.78654957,15.29061508,15.23531723,15.92814827,15.53177547,15.77305984,15.65902042,16.0975914,15.40512371,15.73686028,14.91139603,15.65645885,15.87198925,15.82236576,15.40520668,15.30125427,15.2230978,15.40542316,14.98645782,15.2692194,15.23916435,16.01117706,15.17914963,15.15737152,15.90289211,15.67487431,15.27727032,15.6194973,16.24854851,15.93322277,15.33658028,16.2060585,16.81390572,16.22994804,16.03984261,16.56773758,16.64743805,16.28912354,16.35910416,16.19833755,16.88124275,16.85823822,16.09799576,16.45894432,16.1365509,16.09033203,15.96697044,17.1669445,16.50547028,17.22955704,17.08438301,16.82657623
17,15.78058529,15.82117367,15.32809544,15.26811409,15.96325779,15.56086826,15.80747318,15.69125938,16.1293087,15.43865967,15.76862526,14.9380722,15.68669796,15.89899158,15.85160828,15.43255234,15.32553959,15.2496748,15.43542957,15.01815128,15.30307961,15.26482201,16.03891563,15.20987988,15.19201279,15.93146801,15.70880985,15.30238438,15.65177155,16.28310394,15.97189331,15.37495708,16.23984718,16.85084724,16.26899338,16.08219337,16.61137581,16.68977547,16.32019806,16.38340759,16.22353745,16.92617226,16.90514755,16.13583565,16.4907093,16.16458321,16.11177254,15.99075317,17.19297028,16.54400444,17.26883507,17.12003326,16.86291122
18,15.81606483,15.86028862,15.37025833,15.30498886,16.00308609,15.59355068,15.84622669,15.72764492,16.16506195,15.47645092,15.80440712,14.96794128,15.72077465,15.92949772,15.88478088,15.46347713,15.3529911,15.27973461,15.46918488,15.05389309,15.34133148,15.29365921,16.07034111,15.24463272,15.2312336,15.96370888,15.74702263,15.33067036,15.68857861,16.3225441,16.0159874,15.41863441,16.27845573,16.89309502,16.31349945,16.13058853,16.66124153,16.73810196,16.35535049,16.41116142,16.25214195,16.9773407,16.95872688,16.17852592,16.52635384,16.19671059,16.13651466,16.01806641,17.22319794,16.58892441,17.31451797,17.16129112,16.90483093
19,15.85535145,15.90372658,15.41686916,15.34572792,16.04751396,15.62962437,15.88911724,15.76801109,16.20467377,15.51830673,15.8440218,15.00078869,15.75852013,15.96337891,15.92178345,15.49786091,15.38349915,15.31315899,15.50649738,15.09351158,15.38381004,15.32550812,16.10534859,15.28327179,15.2748909,15.99946308,15.78931236,15.36198044,15.7298727,16.36683083,16.06544495,15.46752834,16.32186127,16.94062805,16.36340141,16.18499374,16.71730232,16.79236603,16.39445114,16.44234276,16.28407669,17.03465652,17.01893425,16.22586441,16.56564713,16.23294258,16.16461754,16.04893112,17.25775719,16.64047623,17.3668251,17.2082901,16.95243263
20,15.8981142,15.95114994,15.46751881,15.38996887,16.096241,15.66876125,15.93577671,15.81203461,16.24781418,15.56387711,15.88713455,15.03629017,15.79961681,16.00037193,15.96236324,15.53544235,15.41682911,15.34969902,15.54704094,15.13668251,15.43018532,15.36008072,16.14369011,15.32550621,15.32266903,16.03844261,15.83531666,15.39604759,15.77542114,16.41572189,16.1199894,15.52134323,16.36983871,16.99321175,16.41841507,16.24512863,16.77926826,16.85227394,16.43720627,16.47678185,16.31912804,17.09778214,17.08545494,16.27746964,16.60822105,16.27311707,16.19599533,16.08322716,17.29659843,16.69861794,17.42569351,17.26092339,17.00557327
