Y	E0	E
1965	788.8659891	798.0762878
1966	1353.427638	1361.247948
1967	1373.812253	1440.167488
1968	1004.85671	1068.279007
1969	837.8688436	831.2299503
1970	923.5787321	955.6424748
1971	925.9158972	933.1438849
1972	996.6747723	1016.97539
1973	1211.345477	1183.157418
1974	788.9801281	830.1897564
1975	1130.449262	1142.792828
1976	1090.968174	1193.720319
1977	1000.700392	1021.455769
1978	1263.205766	1261.856613
1979	938.4989707	942.7593291
1980	1049.613087	1097.255784
1981	1320.197686	1385.407465
1982	870.4131917	931.3918871
1983	1030.441371	1076.053423
1984	1127.075509	1222.736165
1985	978.2907801	1037.377656
1986	779.8714114	837.0456092
1987	918.755331	904.1519296
1988	1154.038879	1228.402253
1989	900.7215171	966.8894573
1990	1332.039715	1326.544038
1991	838.1520881	853.7135093
1992	1052.153149	1113.040538
1993	982.966706	1008.418444
1994	913.085896	876.5278042
1995	1090.080395	1083.343655
1996	899.0793114	950.1622839
1997	825.8281083	795.6572728
1998	1154.855245	1057.448589
1999	1084.93809	1048.39195
2000	815.7495647	800.3343589
2001	1151.428486	1075.930389
2002	870.7460307	799.0603427
2003	896.8948646	857.095482
2004	1074.212086	1022.88068
2005	888.2401308	857.3221595
2006	735.4321156	645.3170077
2007	823.3554182	750.1437274
2008	1038.767897	1013.316028
2009	753.3016016	700.2001236
2010	1046.634171	1021.31962
2011	1114.638223	1093.670622
2012	834.7098866	827.4550599
2013	1512.831266	1354.225585
2014	926.7342226	871.0157121
		
